"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","STREET_NAME","NEIGHBOURHOOD","full_address","lat","lon"
"85","Mischief",2013,1,"1000"," BEACH AVE","West End","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"86","Break and Enter Commercial",2013,8,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"87","Break and Enter Commercial",2013,4,"1000"," BEACH AVE","Central Business District","1000  BEACH AVE, Vancouver, BC",49.2756184,-123.1341972
"88","Other Theft",2013,7,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"89","Theft from Vehicle",2013,9,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"90","Break and Enter Residential/Other",2013,4,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"91","Break and Enter Residential/Other",2013,9,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"92","Break and Enter Residential/Other",2013,9,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"93","Theft from Vehicle",2013,10,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"94","Mischief",2013,4,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"95","Mischief",2013,2,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"96","Break and Enter Commercial",2013,7,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"97","Break and Enter Commercial",2013,11,"1000"," BROUGHTON ST","West End","1000  BROUGHTON ST, Vancouver, BC",49.2850723,-123.134169
"98","Other Theft",2013,11,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"99","Other Theft",2013,10,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"100","Other Theft",2013,6,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"101","Other Theft",2013,9,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"102","Other Theft",2013,11,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"103","Break and Enter Residential/Other",2013,8,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"104","Break and Enter Residential/Other",2013,10,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"105","Theft from Vehicle",2013,6,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"106","Theft from Vehicle",2013,9,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"107","Theft from Vehicle",2013,11,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"108","Mischief",2013,1,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"109","Theft from Vehicle",2013,8,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"110","Break and Enter Commercial",2013,12,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"111","Break and Enter Commercial",2013,1,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"112","Break and Enter Commercial",2013,6,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"113","Break and Enter Commercial",2013,10,"1000"," BURNABY ST","West End","1000  BURNABY ST, Vancouver, BC",49.2783392,-123.1303199
"114","Other Theft",2013,8,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"115","Other Theft",2013,1,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"116","Other Theft",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"117","Other Theft",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"118","Other Theft",2013,3,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"119","Other Theft",2013,10,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"120","Other Theft",2013,8,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"121","Other Theft",2013,12,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"122","Other Theft",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"123","Other Theft",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"124","Other Theft",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"125","Other Theft",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"126","Other Theft",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"127","Other Theft",2013,10,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"128","Other Theft",2013,10,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"129","Other Theft",2013,9,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"130","Other Theft",2013,9,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"131","Other Theft",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"132","Other Theft",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"133","Other Theft",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"134","Other Theft",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"135","Other Theft",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"136","Other Theft",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"137","Other Theft",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"138","Other Theft",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"139","Other Theft",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"140","Other Theft",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"141","Other Theft",2013,5,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"142","Other Theft",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"143","Other Theft",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"144","Other Theft",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"145","Other Theft",2013,2,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"146","Other Theft",2013,2,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"147","Other Theft",2013,2,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"148","Other Theft",2013,2,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"149","Other Theft",2013,1,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"150","Other Theft",2013,1,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"151","Theft from Vehicle",2013,4,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"152","Theft from Vehicle",2013,1,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"153","Break and Enter Residential/Other",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"154","Break and Enter Residential/Other",2013,5,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"155","Break and Enter Residential/Other",2013,10,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"156","Break and Enter Residential/Other",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"157","Theft from Vehicle",2013,7,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"158","Theft from Vehicle",2013,6,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"159","Theft from Vehicle",2013,3,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"160","Mischief",2013,11,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"161","Mischief",2013,10,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"162","Mischief",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"163","Mischief",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"164","Mischief",2013,6,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"165","Mischief",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"166","Theft from Vehicle",2013,8,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"167","Theft from Vehicle",2013,5,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"168","Theft of Vehicle",2013,3,"1000"," BURRARD ST","Central Business District","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"169","Theft of Vehicle",2013,10,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"170","Theft from Vehicle",2013,5,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"171","Theft from Vehicle",2013,5,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"172","Theft from Vehicle",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"173","Theft from Vehicle",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"174","Theft from Vehicle",2013,3,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"175","Break and Enter Commercial",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"176","Break and Enter Commercial",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"177","Break and Enter Commercial",2013,8,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"178","Theft from Vehicle",2013,12,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"179","Theft from Vehicle",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"180","Theft from Vehicle",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"181","Theft from Vehicle",2013,11,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"182","Theft from Vehicle",2013,7,"1000"," BURRARD ST","West End","1000  BURRARD ST, Vancouver, BC",49.2798569,-123.1266061
"183","Other Theft",2013,5,"1000"," BUTE ST","West End","1000  BUTE ST, Vancouver, BC",49.2838679,-123.1301658
"184","Other Theft",2013,4,"1000"," BUTE ST","West End","1000  BUTE ST, Vancouver, BC",49.2838679,-123.1301658
"185","Mischief",2013,1,"1000"," BUTE ST","West End","1000  BUTE ST, Vancouver, BC",49.2838679,-123.1301658
"186","Theft from Vehicle",2013,9,"1000"," BUTE ST","West End","1000  BUTE ST, Vancouver, BC",49.2838679,-123.1301658
"187","Other Theft",2013,10,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"188","Other Theft",2013,9,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"189","Other Theft",2013,6,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"190","Other Theft",2013,10,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"191","Other Theft",2013,8,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"192","Break and Enter Residential/Other",2013,2,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"193","Theft from Vehicle",2013,8,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"194","Theft from Vehicle",2013,3,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"195","Theft from Vehicle",2013,11,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"196","Theft from Vehicle",2013,10,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"197","Theft from Vehicle",2013,8,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"198","Theft from Vehicle",2013,7,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"199","Theft from Vehicle",2013,2,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"200","Mischief",2013,6,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"201","Mischief",2013,8,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"202","Theft of Vehicle",2013,10,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"203","Break and Enter Commercial",2013,1,"1000"," CAMBIE ST","Central Business District","1000  CAMBIE ST, Vancouver, BC",49.2760146,-123.1179968
"204","Other Theft",2013,7,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
"205","Other Theft",2013,12,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
"206","Other Theft",2013,10,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
"207","Other Theft",2013,11,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
"208","Other Theft",2013,10,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
"209","Other Theft",2013,10,"1000"," CANADA PL","Central Business District","1000  CANADA PL, Vancouver, BC",49.2881471,-123.1157591
